Y
40
10
-10
0
-160
-200
-30
-30
-30
-30
40
-90
-160
-110
-170
-100
40
130
30
70
80
100
150
-30
-160
-200
-100
-50
-100
-40
40
30
10
-170
70
80
130
150
-150
20
90
20
-80
0
-40
30
-80
70
-70
-30
70
120
-120
-90
-10
-90
50
100
40
90
60
-70
10
80
110
-100
-100
40
-120
-200
-20
-10
-60
-70
-20
60
-40
0
-20
-70
20
80
0
10
10
10
-170
-170
-10
0
10
20
20
-60
10
20
-70
50
40
-10
-120
-70
-110
-70
-60
50
-190
-120
-140
0
30
-130
-20
-160
-70
0
70
-70
-70
80
100
70
-30
-100
-50
10
-50
70
110
-60
-30
-70
0
-20
90
80
120
-170
-200
-200
-90
-100
-200
-120
-10
60
-130
-70
-150
-70
40
60
10
-80
-50
-110
-110
-110
-10
30
110
90
-40
-60
-110
-20
80
-130
-140
-140
-160
60
-140
-40
-40
-140
-40
20
-190
-140
-70
20
-80
90
110
-10
-10
-20
-10
30
80
-200
150
-30
20
0
150
70
80
90
110
50
-100
20
-30
-30
-20
30
0
-160
-170
-180
110
-200
120
-30
-30
-30
-200
-200
-80
-140
-20
-60
-90
-30
-30
-30
110
40
50
60
80
130
200
-80
-30
-90
-80
-30
130
50
60
70
80
60
-200
-100
-120
-30
0
30
-160
-180
-180
-190
110
200
-10
100
100
-130
-130
-50
-170
0
10
10
-40
60
-170
50
50
60
60
200
200
-40
0
10
40
50
150
-20
-20
-30
140
100
140
10
20
20
10
10
70
-160
-120
10
-120
20
110
-110
-90
-130
-90
-90
110
-160
-100
-180
-100
10
70
-10
0
0
-10
-180
-170
-90
-40
-100
-40
-40
100
-180
-190
-200
-200
-50
-40
-40
-40
-100
-200
40
-130
-130
80
-30
80
-90
-100
-100
-110
-180
-140
20
70
70
90
0
-170
-10
0
40
50
40
90
70
-140
-150
0
40
-50
-120
110
-100
-140
-80
10
-110
-40
-140
-50
20
100
-110
-80
-140
-80
30
120
-200
-200
-200
-200
-100
90
-10
-20
-20
20
40
130
-110
-80
-120
-70
10
90
-80
-30
0
-20
-10
70
-200
-20
-10
-10
40
140
-130
-130
-160
-90
130
-140
-90
-170
-150
-110
-40
-110
-120
-120
-140
-80
-100
-120
-120
-130
-140
-110
200
30
80
90
-70
-40
50
0
0
10
10
80
-180
-80
-40
-90
-30
70
130
-50
-50
-40
-40
30
-170
-70
-70
-70
-90
-50
-200
50
60
70
90
90
80
-160
-90
-180
-100
30
70
50
60
70
0
-40
-140
-110
-60
-130
-50
-10
50
-120
-90
-60
-80
-10
60
-190
50
-160
-60
0
-80
0
120
160
-120
-70
-20
-60
40
90
20
10
-10
0
60
90
-180
-20
-100
-130
-40
110
40
-200
-200
-190
-60
-10
-80
60
-20
-20
-20
-10
10
-200
90
100
110
-200
130
160
-140
-100
-180
-80
20
70
-120
-80
-200
-60
60
170
-20
30
-10
-20
-20
40
-180
-200
-80
-10
10
120
-200
-200
-20
30
-30
30
80
130
-160
-110
-100
-120
-140
-100
-140
-120
-90
-90
-200
-200
-20
-10
-10
-10
20
80
-50
110
110
40
-200
-190
-70
-60
-60
-70
-100
20
40
40
20
20
60
70
30
40
50
20
130
150
-20
-10
0
10
40
90
-50
60
-50
-50
-10
60
-170
-150
-110
-10
-200
-200
-20
-10
10
10
0
40
20
30
50
50
40
50
40
20
-200
70
-200
-200
-10
-10
10
50
-160
-130
-140
20
30
50
-110
-30
-10
-10
-10
10
10
20
-10
0
0
-10
20
40
-70
-60
-40
-30
-10
40
-40
-10
20
60
-200
-200
30
40
60
10
80
130
40
40
50
30
100
130
-180
-200
-200
-120
-200
-200
80
90
100
120
170
110
30
30
40
10
50
70
60
70
80
-200
-200
60
70
80
100
-180
-200
10
20
20
50
60
100
-20
-10
10
20
0
40
30
70
90
70
-170
-200
90
90
100
120
-100
-200
40
40
20
60
60
110
70
80
90
110
-160
-200
90
90
70
70
110
110
70
80
90
110
-170
-140
20
30
40
0
30
60
-200
-120
-80
-200
-200
30
-70
-40
120
-200
-200
110
-170
-190
20
-60
-90
60
70
60
40
60
80
40
50
60
40
90
-120
20
30
50
10
80
130
-10
20
70
30
-200
-200
-200
-190
-180
-100
-200
-200
90
140
150
160
140
120
150
-190
-50
-50
-170
-20
100
40
30
40
20
-190
10
-200
80
-200
-180
110
120
130
150
10
10
80
100
100
100
130
130
-90
-50
-30
70
-200
-200
10
0
0
20
10
60
0
10
20
40
50
140
40
50
40
-20
80
110
-50
-50
-40
-30
10
70
40
90
110
170
-200
-200
30
40
-10
-10
50
70
-200
-200
-200
-200
-200
-200
-110
-100
-110
-50
-200
-200
-20
50
60
20
70
110
-20
130
140
120
30
-200
60
40
50
60
-200
-180
50
60
70
90
10
-200
40
40
60
30
90
160
20
20
30
20
20
40
-50
-50
-40
-10
10
100
-10
0
20
-10
70
120
140
-170
-100
-200
20
30
20
50
80
130
-30
-10
-40
0
20
70
-20
-20
10
20
30
70
20
50
30
30
90
110
-170
-190
-120
-200
-80
-80
-70
-80
-60
-20
-160
-160
-190
-200
-200
50
50
